Actor name,Image URL,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
Fahadh Faasil,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,<1,<1,1,1,2,1,1,<1,1,1,1,1,1,4,11,9,8,8,7,4,2,3,7,6,12,10,6,4,5,5,6,5,4,5,51,28,10,12,9,12,11,100,30,12,13,12,14,9,8,8,5,5,6,9,6,6,6,7,7,9,7,6,7,5,5,4,5,4,4,5,4,4,5,5,3,6,6,5,4,3,3,3,4,4,3,5,4,4,4,5,5,4,3,6,4,6,5,6,4,4,7,7,5,4,3,3
Asif Ali,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,0,0,4,4,0,4,0,4,0,2,4,2,2,3,3,7,10,12,13,7,7,11,9,8,7,8,11,10,8,27,10,9,9,6,4,5,5,21,20,8,5,5,3,4,5,4,4,4,6,4,4,4,4,3,3,2,2,2,2,3,3,2,3,3,2,3,3,4,5,4,4,4,3,3,2,4,3,3,5,4,4,4,4,4,5,4,5,8,5,4,4,4,4,3,3,3,4,5,3,3,4,4,3,3,3,4,4,3,4,5,5,3,2,3,3,4,4
Suresh Gopi,,0,0,27,22,19,0,0,16,0,0,0,0,0,0,0,0,0,0,0,10,0,9,10,9,9,9,0,10,0,0,0,7,8,0,0,0,0,7,6,7,8,0,0,6,6,5,0,9,0,0,5,6,5,6,0,6,5,5,0,5,5,0,5,6,5,5,4,17,5,4,5,5,4,14,6,5,9,6,4,9,4,4,10,5,4,4,5,5,5,4,5,4,5,5,5,4,3,3,4,6,7,7,7,6,5,5,5,4,3,6,4,6,5,4,3,4,5,4,3,4,3,4,4,4,4,4,3,4,4,3,4,3,9,6,4,4,4,6,4,3,4,3,2,3,4,3,4,8,8,4,3,3,4,5,5,4,5,5,5,5,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,2,3,2,3,10,6,3,2,2,2,3,4,4
Jayasurya,,0,24,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,9,8,0,0,7,0,0,0,0,0,0,0,0,0,5,0,6,5,0,0,6,0,0,0,0,5,0,5,0,0,5,5,0,5,8,10,11,5,5,4,0,5,0,5,5,4,5,4,0,11,4,4,4,4,6,0,4,2,3,3,2,4,4,4,3,2,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,3,3,2,2,1,3,4,5,2,2,3,3,2,2,1,2,1,1,3,2,2,2,1,2,2,3,2,3,2,3,4,4,3,4,6,3,3,3,4,5,6,5,5,5,4,5,4,4,4,4,3,3,3,2,3,4,8,4,4,3,3,4,2,3,2,2,2,2,2,3,2,2,2,1,2,3,2,2,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
